"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2","Time (s) Run #3","Position (m) Run #3","Force (N) Run #3","Speed (mm/min) Run #3"
40.800,-0.00147,-152,0.06,40.800,-1.28905E-4,-1003,0.00,,,,
41.000,-0.00147,-149,0.03,41.000,-1.28905E-4,-1003,0.00,,,,
41.200,-0.00147,-149,0.00,41.200,-1.28905E-4,-1004,0.00,,,,
41.400,-0.00147,-149,0.00,41.400,-1.28905E-4,-1003,0.03,,,,
41.600,-0.00147,-149,0.00,41.600,-1.28905E-4,-1003,0.06,,,,
41.800,-0.00147,-149,0.00,41.800,-1.28270E-4,-1003,0.10,,,,
42.000,-0.00147,-149,0.00,42.000,-1.28270E-4,-1003,0.13,,,,
42.200,-0.00147,-149,0.00,42.200,-1.27635E-4,-998,0.13,,,,
42.400,-0.00147,-149,0.00,42.400,-1.27000E-4,-991,0.10,,,,
42.600,-0.00147,-149,0.00,42.600,-1.27000E-4,-991,0.03,,,,
42.800,-0.00147,-149,0.00,42.800,-1.27000E-4,-990,0.00,,,,
43.000,-0.00147,-149,0.00,43.000,-1.27000E-4,-990,0.00,,,,
43.200,-0.00147,-149,0.13,43.200,-1.27000E-4,-990,-0.03,,,,
43.400,-0.00147,-149,0.54,43.400,-1.27000E-4,-990,-0.06,,,,
43.600,-0.00147,-143,0.98,43.600,-1.27635E-4,-990,-0.06,,,,
43.800,-0.00146,-94,1.14,43.800,-1.27635E-4,-990,-0.03,,,,
44.000,-0.00146,-84,0.86,44.000,-1.27635E-4,-990,0.00,,,,
44.200,-0.00146,-64,0.41,44.200,-1.27635E-4,-990,0.00,,,,
44.400,-0.00146,-64,0.13,44.400,-1.27635E-4,-990,0.00,,,,
44.600,-0.00146,-63,0.35,44.600,-1.27635E-4,-990,0.00,,,,
44.800,-0.00146,-63,0.86,44.800,-1.27635E-4,-990,0.00,,,,
45.000,-0.00145,-39,1.02,45.000,-1.27635E-4,-990,0.00,,,,
45.200,-0.00145,-19,0.67,45.200,-1.27635E-4,-990,0.00,,,,
45.400,-0.00145,-19,0.16,45.400,-1.27635E-4,-990,0.00,,,,
45.600,-0.00145,-19,0.10,45.600,-1.27635E-4,-990,0.00,,,,
45.800,-0.00145,-19,0.25,45.800,-1.27635E-4,-990,0.00,,,,
46.000,-0.00145,-17,0.38,46.000,-1.27635E-4,-990,0.00,,,,
46.200,-0.00144,-16,0.38,46.200,-1.27635E-4,-990,0.00,,,,
46.400,-0.00144,-15,0.25,46.400,-1.27635E-4,-990,0.00,,,,
46.600,-0.00144,-15,0.13,46.600,-1.27635E-4,-990,0.00,,,,
46.800,-0.00144,-14,-0.03,46.800,-1.27635E-4,-990,0.00,,,,
47.000,-0.00144,-14,-0.29,47.000,-1.27635E-4,-990,0.00,,,,
47.200,-0.00144,-15,-0.60,47.200,-1.27635E-4,-990,0.00,,,,
47.400,-0.00145,-17,-0.73,47.400,-1.27635E-4,-990,0.00,,,,
47.600,-0.00145,-28,-0.60,47.600,-1.27635E-4,-990,0.00,,,,
47.800,-0.00145,-33,-0.35,47.800,-1.27635E-4,-990,0.00,,,,
48.000,-0.00145,-37,-0.19,48.000,-1.27635E-4,-990,0.00,,,,
48.200,-0.00145,-39,-0.16,48.200,-1.27635E-4,-990,0.00,,,,
