"Time (s) Run #1","Position (m) Run #1","Force (N) Run #1","Speed (mm/min) Run #1","Time (s) Run #2","Position (m) Run #2","Force (N) Run #2","Speed (mm/min) Run #2"
26.600,1.13665E-4,912,0.57,26.600,0.00436,2293,48.61
26.800,1.19380E-4,972,0.57,26.800,0.00461,-1226,33.24
27.000,1.19380E-4,973,0.29,27.000,0.00461,-1231,13.18
27.200,1.19380E-4,973,0.00,27.200,0.00461,-1232,0.29
27.400,1.19380E-4,973,0.00,27.400,0.00461,-1231,0.00
27.600,1.19380E-4,973,0.00,27.600,0.00461,-1231,0.03
27.800,1.19380E-4,973,0.00,27.800,0.00461,-1231,0.06
28.000,1.19380E-4,972,0.00,28.000,0.00461,-1232,0.06
28.200,1.19380E-4,973,0.00,28.200,0.00461,-1231,0.03
28.400,1.19380E-4,973,0.03,28.400,0.00461,-1232,0.00
28.600,1.19380E-4,975,0.16,28.600,0.00461,-1232,0.00
28.800,1.20015E-4,978,0.29,28.800,0.00461,-1231,0.00
29.000,1.21920E-4,992,0.29,29.000,0.00461,-1232,0.00
29.200,1.22555E-4,1008,0.16,29.200,0.00461,-1231,0.00
29.400,1.22555E-4,1010,0.03,29.400,0.00461,-1231,0.00
29.600,1.22555E-4,1010,0.00,29.600,0.00461,-1231,0.00
29.800,1.22555E-4,1010,0.00,29.800,0.00461,-1232,0.00
30.000,1.22555E-4,1010,0.00,30.000,0.00461,-1231,0.00
30.200,1.22555E-4,1010,0.00,30.200,0.00461,-1231,0.00
30.400,1.22555E-4,1010,0.00,30.400,0.00461,-1231,0.00
30.600,1.22555E-4,1009,0.00,30.600,0.00461,-1231,0.00
30.800,1.22555E-4,1009,0.00,30.800,0.00461,-1232,0.00
31.000,1.22555E-4,1009,0.00,31.000,0.00461,-1231,0.00
31.200,1.22555E-4,1009,0.00,31.200,0.00461,-1231,0.00
31.400,1.22555E-4,1010,0.00,31.400,0.00461,-1231,0.00
31.600,1.22555E-4,1009,0.00,31.600,0.00461,-1231,0.00
31.800,1.22555E-4,1009,0.00,31.800,0.00461,-1231,0.00
32.000,1.22555E-4,1009,0.00,32.000,0.00461,-1231,0.00
32.200,1.22555E-4,1009,0.00,32.200,0.00461,-1231,0.00
32.400,1.22555E-4,1009,0.00,32.400,0.00461,-1231,0.00
32.600,1.22555E-4,1009,0.00,32.600,0.00461,-1231,0.00
32.800,1.22555E-4,1009,0.00,32.800,0.00461,-1232,0.00
33.000,1.22555E-4,1009,0.00,33.000,0.00461,-1231,0.00
33.200,1.22555E-4,1010,0.00,33.200,0.00461,-1231,0.00
33.400,1.22555E-4,1010,0.00,33.400,0.00461,-1231,0.70
33.600,1.22555E-4,1009,0.00,33.600,0.00461,-1231,1.40
33.800,1.22555E-4,1009,0.00,33.800,0.00463,-1230,4.29
34.000,1.22555E-4,1009,0.00,34.000,0.00463,-1231,8.76
34.200,1.22555E-4,1010,0.00,34.200,0.00469,-1231,10.35
34.400,1.22555E-4,1009,0.00,34.400,0.00473,-1231,7.46
34.600,1.22555E-4,1009,0.00,34.600,0.00473,-1232,2.29
34.800,1.22555E-4,1009,0.00,34.800,0.00473,-1231,0.32
35.000,1.22555E-4,1009,0.00,35.000,0.00473,-1231,3.97
35.200,1.22555E-4,1009,0.00,35.200,0.00474,-1231,8.99
35.400,1.22555E-4,1009,0.00,35.400,0.00480,-1231,12.13
35.600,1.22555E-4,1009,0.00,35.600,0.00484,-1231,12.06
35.800,1.22555E-4,1009,0.00,35.800,0.00487,-1231,9.33
36.000,1.22555E-4,1009,0.00,36.000,0.00491,-1231,6.38
36.200,1.22555E-4,1010,0.00,36.200,0.00492,-1231,2.89
36.400,1.22555E-4,1010,0.00,36.400,0.00492,-1231,0.67
36.600,1.22555E-4,1010,0.00,36.600,0.00492,-1231,0.16
36.800,1.22555E-4,1009,0.00,36.800,0.00492,-1231,0.06
37.000,1.22555E-4,1009,0.00,37.000,0.00492,-1231,0.00
37.200,1.22555E-4,1010,0.00,37.200,0.00492,-1231,0.00
37.400,1.22555E-4,1009,0.00,37.400,0.00492,-1231,0.00
37.600,1.22555E-4,1009,0.00,37.600,0.00492,-1231,0.00
37.800,1.22555E-4,1010,0.00,37.800,0.00492,-1231,0.00
38.000,1.22555E-4,1009,,38.000,0.00492,-1231,0.00
,,,,38.200,0.00492,-1231,0.00
,,,,38.400,0.00492,-1231,0.00
,,,,38.600,0.00492,-1231,0.00
,,,,38.800,0.00492,-1231,0.00
,,,,39.000,0.00492,-1231,0.00
,,,,39.200,0.00492,-1231,0.00
,,,,39.400,0.00492,-1231,0.00
,,,,39.600,0.00492,-1231,0.00
,,,,39.800,0.00492,-1231,0.00
,,,,40.000,0.00492,-1231,0.00
,,,,40.200,0.00492,-1231,0.00
,,,,40.400,0.00492,-1232,0.00
,,,,40.600,0.00492,-1231,0.00
,,,,40.800,0.00492,-1231,0.00
,,,,41.000,0.00492,-1231,0.00
,,,,41.200,0.00492,-1231,0.00
,,,,41.400,0.00492,-1231,0.00
,,,,41.600,0.00492,-1231,0.00
,,,,41.800,0.00492,-1231,0.00
,,,,42.000,0.00492,-1231,0.00
,,,,42.200,0.00492,-1231,0.00
,,,,42.400,0.00492,-1231,0.00
,,,,42.600,0.00492,-1231,0.00
,,,,42.800,0.00492,-1231,0.00
,,,,43.000,0.00492,-1231,0.00
,,,,43.200,0.00492,-1231,0.00
,,,,43.400,0.00492,-1231,0.00
,,,,43.600,0.00492,-1231,0.00
,,,,43.800,0.00492,-1231,0.00
,,,,44.000,0.00492,-1231,0.00
,,,,44.200,0.00492,-1231,0.00
,,,,44.400,0.00492,-1231,
